2018-05-02 01:59:56,DonnaJWalter,Mueller’s questions show that he wants to get Trump to incriminate himself https://www. vox.com/2018/5/1/17307 398/mueller-trump-questions-nyt-obstruction-of-justice?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom,,
2018-05-02 01:59:55,popculture007,Trump just loves hearing and saying ‘someone leaked’ or how there’s people leaking all around him. It makes him think of that golden night in Russia. Maybe he has a urinary issue...,,
2018-05-02 01:59:55,bigdaddyoldsch2,The surprises are called follow up questions. That's when they bring the heat.,,
2018-05-02 01:59:55,Bluesushi914,Presented by a Draft Dodger!,,
2018-05-02 01:59:55,BeckyYork2,I would write my own letter also before it was released to the media! That's common sense! @realDonaldTrump @FoxNews @DRUDGE_REPORT @foxandfriends,,
2018-05-02 01:59:55,anngov,Trump must be paying Marvel well to kiss his ass and believe his lies #brainwashed,#brainwashed,
2018-05-02 01:59:55,trevino_ricardo,Alright trump,,
2018-05-02 01:59:55,DFacTor82_KC,"1. I guess you just need to ask yourself what the job of a president is. Last time I checked its to improve a country, to strengthen a country. The more prosperous it's citizens are the better the country. This is what Trump is doing, this is why I voted for him",,
2018-05-02 01:59:55,therealpatquan,The libs come after @realDonaldTrump and his approval ratings soar. The libs come after @Fox and their ratings soar. Congratulations to both! #wehaveyourback,#wehaveyourback,
2018-05-02 01:59:55,welovetherays,@realDonaldTrump how’s the PROPECIA!,,
2018-05-02 01:59:54,chrisbmustang80,@MarkWarner @realDonaldTrump @VP @GarrettforVA @sosidecentral @vahousegop @GovernorVA #ELDorMe #failedeldmandate pic.twitter.com/ERXmVqqDMI,#ELDorMe #failedeldmandate,
2018-05-02 01:59:54,frankoharaa,he has fixations and they’re part of it. So is Obama. Trump is the evil that won just like kanye is still trying to win post VMAs. I think this obsession w love and open conversation is coming from some kind of healing or self help he’s been introduced to but he,,
2018-05-02 01:59:54,trebor_keeper,"And they blamed RUSSIA for interference...and rigging the election. Time to take them down !President ,you've got the power and the http:// means.do it!!",,
2018-05-02 01:59:54,BehindPlow,"#1 Trump needs no Aides....#2. He needs no Advice..#3 He needs no friends..#4, He needs to pick his "" Cell "" at Sing Sing , Red would be a good color, #5....Fake News will end with Trump 's Demise.......#6....Send Kelly to VA, he will do the job for sure. https:// twitter.com/DavidPriess/st atus/991336452364660736 …",#1 #2 #3 #4 #5 #6,
2018-05-02 01:59:54,TheMoviePunk,Watching video clips from after the 2016 election and @jheil is claiming that @realDonaldTrump got less popular votes than @MittRomney I also love how in one of the clips it says I need to go and figure out how he got his projections wrong. Maybe he should figure out that he got,,
2018-05-02 01:59:54,FrozenAlchemy,"Trump 's a supposed billionaire and could see any doctor on the planet, and THIS is who he picked? For 20 years? A dissolute gastroenterologist?",,
2018-05-02 01:59:54,Rene_gadeCowboy,I mean seriously only a fool would have believed in the report trump was in perfect health pic.twitter.com/vPC5tsFYjD,,
2018-05-02 01:59:54,SuperSmashKilla,"Nothing you do is honorable, and there is no honor in anything you do.",,
2018-05-02 01:59:54,thebal,There is nothing in trumps world that isn't a fraud or lie.,,
2018-05-02 01:59:54,MissFuhrerious,"Indictments are the charges that they are indicting you on, the prosecutor gives the evidence to the grand jury or judge & the person is indicted and charged after that. Indictments lead to the charge.",,
2018-05-02 01:59:53,tsbarnes89,POTUS Trump Destroys Deep State's Latest Leak From Mueller's Witch Hunt http://www. thegatewaypundit.com/2018/05/potus- trump-destroys-deep-states-latest-leak-from-muellers-witch-hunt/ …,,
2018-05-02 01:59:53,saabelieves,"Here I give you the report , why wait! Trump is a lean mean fighting machine with the stamina of a 16 year old snd his weight is below his average for his bone structure and height. He has the memory of a 4 year year old so he does fall short in only one department Perfection",,
2018-05-02 01:59:53,HBwriterMike,"All this advice to @realDonaldTrump from do nothing former Presidents, cabinet members, Admin on MSM right now re #KoreanPeace - “Do this, this, this and this”...which we couldn’t pull off for the last 3 Administrations.",#KoreanPeace,
2018-05-02 01:59:53,Glambert2821,Opinion | Trump ’s flakiness is destroying America’s credibility https:// wapo.st/2w2Timl?tid=ss _tw&utm_term=.8da2128bf500 …,,
2018-05-02 01:59:53,zigbs,Trump 's old doctor pissed that the Secret Service retrieved his medical records; claims they violated HIPAA -> tells everyone Trump is medically unfit for office and violates HIPAA.,,
2018-05-02 01:59:53,Distracted66,"Koch brothers are NOT responsible for TRUMP 's lala's...... they're wrong, they need to BUTT out! https:// twitter.com/smartdissent/s tatus/991464802101989381 …",,
2018-05-02 01:59:53,GregoryWorkma11,So deluded. Facts are in Our President Trump has done far more for Us We The People than others. Many examples.,,
2018-05-02 01:59:53,tnpaw,Kanye West: More Outrage over Me Wearing a Trump Hat than Black-on-Black Crime http://www. breitbart.com/big-hollywood/ 2018/05/01/kanye-west-outrage-white-police-killing-black-person-black-black-crime/ … via @BreitbartNews,,
2018-05-02 01:59:53,RealNoraC,It's #Grifter @realDonaldTrump 's YUUUGGGEEESSSTTT Con game! And the #Republicans are #Complicit with the theft of our countries money too!! VOTE THEM ALL OUT IN NOVEMBER!! #VoteBlueNoMatterWho #GOPComplicit #VoteOutGOP #BlueWave #BlueTsunami #TheResistance #Resist #EnoughIsEnough https:// twitter.com/randypcox/stat us/991463040682897408 …,#Grifter #Republicans #Complicit #VoteBlueNoMatterWho #GOPComplicit #VoteOutGOP #BlueWave #BlueTsunami #TheResistance #Resist #EnoughIsEnough,
2018-05-02 01:59:52,fisherhaven92,RR in on all the Bad Deals under Obama Administration working in the FBI with #Comey & #Mueller #America4Sale #IranDeal #U1 @POTUS @realDonaldTrump Time to take out the Trash. REPORT: GOP Reps Draft ‘Articles of IMPEACHMENT’ Against Rod Rosenstein https://www. hannity.com/media-room/rep ort-gop-reps-draft-articles-of-impeachment-against-rod-rosenstein/ …,#Comey #Mueller #America4Sale #IranDeal #U1,
